Название песни,Музыка,Слова,Текст песни
А вы знакомы с корабелами,Пахмутова,Добронравов,"А вы знакомы с корабелами?                 
Такой приморский есть народ.               
Он создал шхуны с каравеллами              
И современный теплоходПрощальный гудок –                         
И в миг опечалился док.                    
Зачем оробел,                              
О чем загрустил, корабел?                  
Уже зажжены судовые огни,                  
Огни судовые.                              
Немного обидно, что строят одни,           
А в море уходят другие.                    

Разбив о киль бутыль шампанского,          
Сойдут строители на мол –                  
И вот в просторы океанские корабль поплыл,
Корабль пошел.                             

Плывут стальные – не бумажные -            
По белу свету корабли,                     
Как города многоэтажные,                   
Как острова моей земли."
А если повезёт,Георгий Мовсесян,Лев Ошанин,"За перелесками, за полустанками,           
За чертежами, за станками, за баранками    
Еще не знали мы, еще не ведали,            
Что мы в душе с тобой немного (?) моряки. 

А служба службою везде -                   
И на земле, и на воде, -                   
И друга верного рука                       
С тобой в любой беде.                      
А если очень повезет,                      
Тебя дорога приведет                       
На наш Краснознаменный флот.               

И повзрослели мы,                          
И закурили мы                              
Совсем не где-нибудь еще,                  
А за Курилами.                             
Письмо идет сюда                           
Порой три месяца,                          
Но знаю точно, что ко мне оно дойдетА к жизни на море                          
Уже привычны мы.                           
Пускай не боцманы пока,                    
Пускай не мичманы.                         
Но службу трудную                          
Несем отлично мы.                          
Вы так и знайте это там, не берегу                           

На Тихоокеанский,                          
На яростный Балтийский,                    
На славный Черноморский,                   
На Северный полярный,                      
На наш Краснознаменный флот!"
"А ну, за дело",Я. Столляр,Н. Адуев,"На старый путь не повернуть, не повернуть.
Хлебнули горя мы все не мало.
Что раньше было, теперь забудь!
Начнем в коммуне мы жить сначалаА ну, за дело!
Болтаться надоело!
Дело ленивого не ждет!
Дело! Работа закипела!
У нас сама она пойдет!

Гудит станок, пила поет! Пила поет!
И с каждым днем растет наша сила.
Здесь нет бездомных и нет сирот,
Нас мать-отчизна усыновила"
А самолеты сами не летают,Я. Френкель,И. Шаферан,"Скучаем по любимым и по дому,        
Волнуемся, по правде говоря.         
Но каждый день гудят аэродромы       
И теплоходы держат путь в моря.      

А самолеты сами не летают,           
А теплоходы сами не плывут.          
А мамы не всегда нас понимают,       
Но все-таки когда-нибудь поймут.     

Встречают нас у самого порога        
Зимой морозы, осенью – дожди.        
Но ниточкой бежит в тайгу дорога,    
А город поднимает этажи.             

А вездеходы сами не шагают,          
А новостройки сами не растут.        
И жены не всегда нас понимают,       
Но все-таки когда-нибудь поймут.     

О том, что маловато дней в неделе,   
Порою нам приходится жалеть:         
Ведь главное не то, что мы успели,   
А то, что предстоит еще успеть.      

А просто так удачи не бывает,        
А просто так победы не придут.       
И дети не всегда нас понимают,       
Но все-таки когда-нибудь поймут.     
"
А у нас во дворе,А. Островский,Л. Ошанин,"А у нас во дворе есть девчонка одна,           
Между шумных подруг неприметна она.            
Никому из ребят неприметна онаЯ гляжу ей вслед:                              
Ничего в ней нет,                              
А я все гляжу,                                 
Глаз не отвожу…                                

Есть дружок у меня, я с ним с детства знаком -
Но о ней я молчу даже с лучшим дружком.        
Почему-то молчу даже с лучшим дружком.         

Не боюсь я, ребята, ни ночи, ни дня,           
Ни крутых кулаков, ни воды, ни огня,           
А при ней словно вдруг подменяют меня.         

Вот опять вечерком я стою у ворот,             
Она мимо из булочной с сумкой идет...          
Я стою и молчу, и обида берет.                 

Или утром стучит каблучками она —              
Обо всем позабыв, я слежу из окна              
И не знаю, зачем мне она так нужна."
АМЕРИКАН БОЙ,Виталий Окороков,Александр Шишинин,"Я играю на балалайке,
Это самый русский инструмент.
Я мечтаю жить на Ямайке,
На Ямайке балалаек нет.
И нету счастья в личной жизни,
Проходят зря мои года.
Ну, где ж ты принц мой заграничный,
Приходи поскорей, я жду тебя!
Американ бой, американ джой,
Американ бой фор ол из тайм.
Американ бой, уеду с тобой,
Уеду с тобой, Москва прощай,
Американ бой ой, ой, уеду с тобой.
Американ бой.

Я простая русская девчонка,
За границей с роду не была.
Ты американец, ты мальчонка,
Увози меня и все дела.
Я буду плакать и смеяться,
Когда усядусь в Мерседес.
И буду в роскоши купаться,
Приезжай поскорей за мной, я здесь!"
БАГУЛЬНИК,Самоцветы,Самоцветы,"Где-то багульник на сопках цветет,
Кедры вонзаются в небо...
Кажется, будто давно меня ждет
Край, где ни разу я не был.
Кажется, будто давно меня ждет
Край, где ни разу я не был.

Возле палатки закружится дым,
Вспыхнет костер над рекою...
Вот бы прожить мне всю жизнь молодым,
Чтоб не хотелось покоя.

Знаю, что будут, наверно, не раз
Грозы, мороз и тревога...
Трудное счастье - находка для нас,
К подвигам наша дорога.

Где-то багульник на сопках цветет,
Кедры вонзаются в небо...
Кажется, будто давно меня ждет"
БЕЛАЯ ЧЕРЕМУХА,Вячеслав Добрынин,Вячеслав Добрынин,"Белая черёмуха душистая
Щедро зацвела в моём краю,
Только не могу никак решиться я,
Не могу открыть любовь свою.

Я иду тропинкою извилистой,
И встают деревья на пути.
Птицы о тебе поют заливисто,
Обещают мне тебя найти.

Белый цвет, черёмухи цвет -
Это весны весёлый привет.
Пусть везёт тому, кто верит и ждёт!
К сердцу всегда любовь дорогу найдёт.

Белая черёмуха засыпала,
Будто бы снежинками, траву.
Хорошо, что вдруг мне счастье выпало,
Именем твоим его зову.

С веток лепестки летят и вьюжатся,
Их теперь - попробуй, догони!
На ветру они танцуют, кружатся,
Не даются в руки мне они."
А ОН МНЕ НРАВИТСЯ,Вячеслав Добрынин,Вячеслав Добрынин,"Мне говорят: ""он маленького роста""
Мне говорят: ""одет он слишком просто""
Мне говорят: ""поверь что этот парень
Тебе не пара совсем не пара""
Припев:
А он мне нравится, нравится, нравится
И для меня на свете друга лучше нет
А он мне нравится, нравится, нравится
И это все что я могу сказать в ответ

А он мне нравится, нравится, нравится
И для меня на свете друга лучше нет
А он мне нравится, нравится, нравится
И это все что я могу сказать в ответ

Он объясниться мне в любви не смеет
И только лишь, как девушка краснеет
Мне говорят ""твой выбор не из лучших
Ты нас послушай, ты нас послушай""

Признаться вам, сама не понимаю
Зачем о нем так часто я вздыхаю
И почему мне только светит солнце
В его оконце, в его оконце"
АЛЕШКА,И. Матвиенко,И. Матвиенко,"Жалко нам Алёшку – неплохой он парень,
Наш Замоскворецкий парень непростой
Полюбил он Катьку, а таких сударынь
Обходить старайся дальней стороной

Катя вся такая: врёт и не краснеет,
Любит притворяться, смотрит свысока
Кто Алёшку знает, только сожалеет
И переживает очень за дружка

Алёшка, Алёшка, ну погоди немножко
Не поддавайся, Лёшка, ласке колдовской
Алё-Алёшка, Алёшка, бедовая дорожка
Поплатишься, Алёшка, светлой головой

Жалко нам Алёшку – видим, пропадает
Видим, как страдает, ходит сам не свой
И друзей всё больше он не замечает
Радуется Катька, Катьке не впервой

А недавно новость – у Алёшки свадьба
Приглашает в гости первомайским днём
Неплохой он парень – добрый, беспокойный
Мы придём, конечно, выручать придём
"
Авиамарш,Юлий Хайт,П. Герман,"Мы рождены, чтоб сказку сделать былью,  
Преодолеть пространство и простор,      
Нам разум дал стальные руки-крылья,     
А вместо сердца - пламенный моторВсе выше, и выше, и выше                
Стремим мы полет наших птиц,            
И в каждом пропеллере дышит             
Спокойствие наших границ.               

Бросая ввысь свой аппарат послушный     
Или творя невиданный полет,             
Мы сознаем, как крепнет флот воздушный, 
Наш первый в мире пролетарский флотНаш острый взгляд пронзает каждый атом, 
Наш каждый нерв решимостью одет;        
И, верьте нам, на каждый ультиматум     
Воздушный флот сумеет дать ответ

Алёшка, Алёшка, ну погоди немножко
Не поддавайся, Лёшка, ласке колдовской
Алё-Алёшка, Алёшка, бедовая дорожка
Поплатишься, Алёшка, светлой головой

Жалко нам Алёшку – видим, пропадает
Видим, как страдает, ходит сам не свой
И друзей всё больше он не замечает
Радуется Катька, Катьке не впервой

А недавно новость – у Алёшки свадьба
Приглашает в гости первомайским днём
Неплохой он парень – добрый, беспокойный
Мы придём, конечно, выручать придём"
Авиационная (Мы соколы советские),К. Данькевич,В. Лебедев-Кумач,"Мы к полету и к бою готовы,
И в суровый решительный час
На врага мы по первому зову
Полетим, исполняя приказ!

Мы соколы Советские,            
Летим как ураган!
Несем победу Родине            
И смерть ее врагам!             

Мы соколы Советские,            
Готовы в час любой
За Родину! За Сталина!       
В последний грозный бой!

Ты лети наша песня все выше,    
Через горы, моря, острова!      
Чтобы враг за границей услышал
Этой песни простые слова:    

Мы соколы Советские,            
Летим как ураган!
Несем победу Родине
И смерть ее врагам!

Мы соколы Советские,            
Готовы в час любой             
За Родину! За Сталина!       
В последний грозный бой!

Самолет наш и ловок, и прочен.
Не боимся ни бурь, и ни туч!
Наш прицел будет верен и точен,
Наш удар будет тверд и могуч!

Мы соколы Советские,
Летим как ураган!     
Несем победу Родине
И смерть ее врагам!

Мы соколы Советские,            
Готовы в час любой             
За Родину! За Сталина!       
В последний грозный бой!

Полетим мы из вражьего неба,    
Вражьи гнезда разрушим дотла!   
Чтоб над Родиной нашею не был  
Даже кончик чужого крыла!      

Мы соколы Советские,
Летим как ураган!     
Несем победу Родине
И смерть ее врагам!

Мы соколы Советские,            
Готовы в час любой             
За Родину! За Сталина!       
В последний грозный бой!"
Аврора,Ю.Милютин,М.Лисянский,"Пробили вечерние склянки.        
Волна ударяет в гранит.          
Аврора на вечной стоянке         
Покой Ленинграда хранит.         

Нева открывается взору,          
Над крейсером светится флаг.     
Про юность свою, про ""Аврору"",  
В порту вспоминает моряк.        

Как будто сегодня из рейса,      
Со славой пройдя все моря,       
Вернулся на родину крейсер       
И бросил свои якоря.             

Прошел он моря-океаны,           
Сражался в Цусимском бою,        
Пронес по морям сквозь туманы    
Матросскую славу свою.           

Осеннюю ночь рассекая,            
Огонь по дворцу он открыл,       
И землю от края до края          
Немеркнущий свет озарил.         

Пробили вечерние склянки,        
Уходит эскадра в поход.          
""Аврора"" на вечной стоянке...  
И честь ей моряк отдает."
Аврора,О. Хромушин,Б. Гершт и Г. Прусов,"Шинели, тужурки, бушлаты –               
Готовы матросы, солдаты.                 
Сигнал ждёт грозный крейсер –  «Начать!»
Пока стволы орудий молчат                

-Аврора!                                 
-Готова Аврора!                          

Мир старый от страха растерян,           
А крейсер на Зимний нацелен.             
…Рванулся в небо гром Октября,           
Взошла над Петроградом заря – Аврора.    

Аврора. Аврора!                          
Аврора!!! АВРОРА!!!                      

Аврора, ты крейсер суровый и гордый;     
Навечно постав(лен) в мой город          
В стене гранитной и здесь слышней        
Дыханье давних и грозных дней…           

Ты стала легендой,                       
Аврора, Аврора!                          

Пусть годы сомкнутся в столетья.         
Аврора, ты – символ бессмертья!          
И пусть твои орудья молчат –             
Уже полмира в твоих лучах.               

Аврора – бессмертна!                     
Аврора!                                  
Аврора!                                  
Аврора!!!                                
АВРОРА!!!"
Аджимушкай,В. Шаинский,Б. Дубровин,"От канонад, от канонад           
Пылала Керчь вдали,              
Ряды солдат, ряды солдат         
В каменоломни шли.               

Держись, не отступай,            
Держись, ты не сражён,           
Аджимушкай,                      
Подземный гарнизон.              

Опять обвал, опять обвал,        
И всё темно вокруг.              
И прошептал, и прошептал         
Упавший политрук:                

""Держись, не отступай,          
Держись, ты не сражён,           
Аджимушкай,                      
Подземный гарнизон"".            

И нет воды, и нет воды,          
И хлеба тоже нет,                
И лишь в груди, и лишь в груди  
Живёт надежды свет.              

Держись, не отступай,            
Держись, ты не сражён,           
Аджимушкай,                      
Подземный гарнизон.              

Гул канонад, гул канонад         
Уносится в века,                 
Но всё звучат, но всё звучат     
Слова издалека:                  

Держись, не отступай,            
Держись, ты не сражён,           
Аджимушкай,                      
Подземный гарнизон."
